date,cases,day
29/06/1918,480,0
06/07/1918,2106,1
13/07/1918,2799,2
20/07/1918,2139,3
27/07/1918,1142,4
03/08/1918,647,5
10/08/1918,337,6
17/08/1918,256,7
24/08/1918,174,8
31/08/1918,145,9
07/09/1918,132,10
14/09/1918,109,11
21/09/1918,149,12
28/09/1918,216,13
05/10/1918,468,14
12/10/1918,1322,15
19/10/1918,3664,16
26/10/1918,8300,17
02/11/1918,13900,18
09/11/1918,14760,19
16/11/1918,12336,20
23/11/1918,11853,21
30/11/1918,11418,22
07/12/1918,7651,23
14/12/1918,4050,24
21/12/1918,2180,25
28/12/1918,1298,26
04/01/1919,960,27
11/01/1919,769,28
18/01/1919,581,29
25/01/1919,500,30
01/02/1919,648,31
08/02/1919,1263,32
15/02/1919,2911,33
22/02/1919,5764,34
01/03/1919,7138,35
08/03/1919,6154,36
15/03/1919,4402,37
22/03/1919,2714,38
29/03/1919,1816,39
05/04/1919,1244,40
12/04/1919,988,41
19/04/1919,778,42
26/04/1919,494,43
03/05/1919,413,44
10/05/1919,286,45
